annotation_id,system_id,query_id,claim_text,annotator_1_judgment,annotator_2_judgment,annotator_3_judgment,majority_judgment,annotator_1_confidence,annotator_2_confidence,annotator_3_confidence,mean_confidence,evidence_snippet,fleiss_kappa_batch,annotation_date,adjudicated
FC4-0025,S1,S1-Q37763,Sample claim 25 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,3,5,5,4.33,Evidence snippet supporting judgment for claim 25.,0.724,2024-11-30,0
FC4-0026,S2,S2-Q28250,Sample claim 26 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,3,3,5,3.67,Evidence snippet supporting judgment for claim 26.,0.724,2024-11-15,0
FC4-0027,S3,S3-Q06450,Sample claim 27 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,5,5,5,5.0,Evidence snippet supporting judgment for claim 27.,0.724,2024-10-08,0
FC4-0028,S4,S4-Q35147,Sample claim 28 from Medical Triage Assistant output.,CORRECT,CORRECT,UNVERIFIABLE,CORRECT,3,3,3,3.0,Evidence snippet supporting judgment for claim 28.,0.724,2024-11-27,0
FC4-0029,S1,S1-Q06417,Sample claim 29 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,3,4,5,4.0,Evidence snippet supporting judgment for claim 29.,0.724,2024-10-07,0
FC4-0030,S2,S2-Q26635,Sample claim 30 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,3,3,3,3.0,Evidence snippet supporting judgment for claim 30.,0.724,2024-12-02,0
FC4-0031,S3,S3-Q25587,Sample claim 31 from Document Summarization and QA output.,CORRECT,UNVERIFIABLE,UNVERIFIABLE,UNVERIFIABLE,3,4,3,3.33,Evidence snippet supporting judgment for claim 31.,0.724,2024-11-03,0
FC4-0032,S4,S4-Q43377,Sample claim 32 from Medical Triage Assistant output.,INCORRECT,CORRECT,CORRECT,CORRECT,5,5,5,5.0,Evidence snippet supporting judgment for claim 32.,0.724,2024-12-31,0
FC4-0033,S1,S1-Q35534,Sample claim 33 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,3,5,5,4.33,Evidence snippet supporting judgment for claim 33.,0.724,2024-10-08,0
FC4-0034,S2,S2-Q03728,Sample claim 34 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,5,5,3,4.33,Evidence snippet supporting judgment for claim 34.,0.724,2024-12-05,0
FC4-0035,S3,S3-Q07857,Sample claim 35 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,5,3,4,4.0,Evidence snippet supporting judgment for claim 35.,0.724,2024-12-12,0
FC4-0036,S4,S4-Q37043,Sample claim 36 from Medical Triage Assistant output.,CORRECT,CORRECT,CORRECT,CORRECT,4,5,5,4.67,Evidence snippet supporting judgment for claim 36.,0.724,2024-12-06,0
FC4-0037,S1,S1-Q25939,Sample claim 37 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,4,3,4,3.67,Evidence snippet supporting judgment for claim 37.,0.724,2024-10-17,0
FC4-0038,S2,S2-Q40709,Sample claim 38 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,3,3,4,3.33,Evidence snippet supporting judgment for claim 38.,0.724,2024-12-12,0
FC4-0039,S3,S3-Q04509,Sample claim 39 from Document Summarization and QA output.,INCORRECT,CORRECT,CORRECT,CORRECT,4,3,4,3.67,Evidence snippet supporting judgment for claim 39.,0.724,2024-11-01,0
FC4-0040,S4,S4-Q42859,Sample claim 40 from Medical Triage Assistant output.,CORRECT,CORRECT,UNVERIFIABLE,CORRECT,5,4,5,4.67,Evidence snippet supporting judgment for claim 40.,0.724,2024-12-07,0
FC4-0041,S1,S1-Q17333,Sample claim 41 from Customer Support Chatbot output.,CORRECT,UNVERIFIABLE,CORRECT,CORRECT,5,3,3,3.67,Evidence snippet supporting judgment for claim 41.,0.724,2024-10-15,0
FC4-0042,S2,S2-Q47030,Sample claim 42 from AI Code Assistant IDE Plugin output.,UNVERIFIABLE,CORRECT,CORRECT,CORRECT,4,5,3,4.0,Evidence snippet supporting judgment for claim 42.,0.724,2024-11-13,0
FC4-0043,S3,S3-Q06049,Sample claim 43 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,4,4,3,3.67,Evidence snippet supporting judgment for claim 43.,0.724,2024-12-21,0
FC4-0044,S4,S4-Q10590,Sample claim 44 from Medical Triage Assistant output.,CORRECT,CORRECT,CORRECT,CORRECT,3,5,4,4.0,Evidence snippet supporting judgment for claim 44.,0.724,2024-11-26,0
FC4-0045,S1,S1-Q35756,Sample claim 45 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,3,5,3,3.67,Evidence snippet supporting judgment for claim 45.,0.724,2024-10-05,0
FC4-0046,S2,S2-Q23898,Sample claim 46 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,3,3,4,3.33,Evidence snippet supporting judgment for claim 46.,0.724,2024-10-06,0
FC4-0047,S3,S3-Q26633,Sample claim 47 from Document Summarization and QA output.,UNVERIFIABLE,CORRECT,CORRECT,CORRECT,3,4,5,4.0,Evidence snippet supporting judgment for claim 47.,0.724,2024-12-19,0
FC4-0048,S4,S4-Q01625,Sample claim 48 from Medical Triage Assistant output.,CORRECT,INCORRECT,CORRECT,CORRECT,3,3,4,3.33,Evidence snippet supporting judgment for claim 48.,0.724,2024-10-23,0
FC4-0049,S1,S1-Q17486,Sample claim 49 from Customer Support Chatbot output.,CORRECT,CORRECT,INCORRECT,CORRECT,5,5,3,4.33,Evidence snippet supporting judgment for claim 49.,0.724,2024-10-21,0
FC4-0050,S2,S2-Q30167,Sample claim 50 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,UNVERIFIABLE,CORRECT,4,3,3,3.33,Evidence snippet supporting judgment for claim 50.,0.724,2024-11-14,0
FC4-0051,S3,S3-Q26114,Sample claim 51 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,3,5,3,3.67,Evidence snippet supporting judgment for claim 51.,0.723,2024-11-12,0
FC4-0052,S4,S4-Q26194,Sample claim 52 from Medical Triage Assistant output.,CORRECT,CORRECT,CORRECT,CORRECT,4,5,5,4.67,Evidence snippet supporting judgment for claim 52.,0.723,2024-12-26,0
FC4-0053,S1,S1-Q38050,Sample claim 53 from Customer Support Chatbot output.,INCORRECT,CORRECT,INCORRECT,INCORRECT,3,4,3,3.33,Evidence snippet supporting judgment for claim 53.,0.723,2024-11-03,0
FC4-0054,S2,S2-Q33517,Sample claim 54 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,4,4,5,4.33,Evidence snippet supporting judgment for claim 54.,0.723,2024-10-15,0
FC4-0055,S3,S3-Q34074,Sample claim 55 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,5,4,3,4.0,Evidence snippet supporting judgment for claim 55.,0.723,2024-12-08,0
FC4-0056,S4,S4-Q04586,Sample claim 56 from Medical Triage Assistant output.,CORRECT,INCORRECT,CORRECT,CORRECT,3,4,4,3.67,Evidence snippet supporting judgment for claim 56.,0.723,2024-12-25,0
FC4-0057,S1,S1-Q33235,Sample claim 57 from Customer Support Chatbot output.,INCORRECT,CORRECT,CORRECT,CORRECT,3,5,4,4.0,Evidence snippet supporting judgment for claim 57.,0.723,2024-11-09,0
FC4-0058,S2,S2-Q27555,Sample claim 58 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,5,3,3,3.67,Evidence snippet supporting judgment for claim 58.,0.723,2024-12-25,0
FC4-0059,S3,S3-Q26613,Sample claim 59 from Document Summarization and QA output.,INCORRECT,CORRECT,UNVERIFIABLE,INCORRECT,5,5,4,4.67,Evidence snippet supporting judgment for claim 59.,0.723,2024-12-10,1
FC4-0060,S4,S4-Q21119,Sample claim 60 from Medical Triage Assistant output.,UNVERIFIABLE,CORRECT,CORRECT,CORRECT,5,5,5,5.0,Evidence snippet supporting judgment for claim 60.,0.723,2024-11-29,0
FC4-0061,S1,S1-Q05558,Sample claim 61 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,5,3,5,4.33,Evidence snippet supporting judgment for claim 61.,0.723,2024-11-06,0
FC4-0062,S2,S2-Q14723,Sample claim 62 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,3,5,4,4.0,Evidence snippet supporting judgment for claim 62.,0.723,2024-10-26,0
FC4-0063,S3,S3-Q27161,Sample claim 63 from Document Summarization and QA output.,CORRECT,CORRECT,INCORRECT,CORRECT,5,3,4,4.0,Evidence snippet supporting judgment for claim 63.,0.723,2024-12-20,0
FC4-0064,S4,S4-Q42996,Sample claim 64 from Medical Triage Assistant output.,CORRECT,CORRECT,CORRECT,CORRECT,4,3,3,3.33,Evidence snippet supporting judgment for claim 64.,0.723,2024-12-28,0
FC4-0065,S1,S1-Q11527,Sample claim 65 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,3,4,3,3.33,Evidence snippet supporting judgment for claim 65.,0.723,2024-12-29,0
FC4-0066,S2,S2-Q30451,Sample claim 66 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,3,4,3,3.33,Evidence snippet supporting judgment for claim 66.,0.723,2024-12-25,0
FC4-0067,S3,S3-Q33082,Sample claim 67 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,4,5,5,4.67,Evidence snippet supporting judgment for claim 67.,0.723,2024-11-24,0
FC4-0068,S4,S4-Q16987,Sample claim 68 from Medical Triage Assistant output.,UNVERIFIABLE,CORRECT,UNVERIFIABLE,UNVERIFIABLE,5,4,4,4.33,Evidence snippet supporting judgment for claim 68.,0.723,2024-11-01,0
FC4-0069,S1,S1-Q17997,Sample claim 69 from Customer Support Chatbot output.,UNVERIFIABLE,CORRECT,CORRECT,CORRECT,4,5,3,4.0,Evidence snippet supporting judgment for claim 69.,0.723,2024-11-26,0
FC4-0070,S2,S2-Q09069,Sample claim 70 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,4,5,3,4.0,Evidence snippet supporting judgment for claim 70.,0.723,2024-10-20,0
FC4-0071,S3,S3-Q21685,Sample claim 71 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,3,4,4,3.67,Evidence snippet supporting judgment for claim 71.,0.723,2024-12-09,0
FC4-0072,S4,S4-Q01281,Sample claim 72 from Medical Triage Assistant output.,CORRECT,CORRECT,UNVERIFIABLE,CORRECT,4,5,5,4.67,Evidence snippet supporting judgment for claim 72.,0.723,2024-12-13,0
FC4-0073,S1,S1-Q48990,Sample claim 73 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,4,4,5,4.33,Evidence snippet supporting judgment for claim 73.,0.723,2024-12-09,0
FC4-0074,S2,S2-Q01903,Sample claim 74 from AI Code Assistant IDE Plugin output.,CORRECT,UNVERIFIABLE,CORRECT,CORRECT,4,4,4,4.0,Evidence snippet supporting judgment for claim 74.,0.723,2024-11-19,0
FC4-0075,S3,S3-Q40781,Sample claim 75 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,3,4,3,3.33,Evidence snippet supporting judgment for claim 75.,0.723,2024-12-08,0
FC4-0076,S4,S4-Q28090,Sample claim 76 from Medical Triage Assistant output.,CORRECT,CORRECT,CORRECT,CORRECT,3,3,5,3.67,Evidence snippet supporting judgment for claim 76.,0.723,2024-10-18,0
FC4-0077,S1,S1-Q21421,Sample claim 77 from Customer Support Chatbot output.,UNVERIFIABLE,CORRECT,CORRECT,CORRECT,4,3,4,3.67,Evidence snippet supporting judgment for claim 77.,0.723,2024-11-13,0
FC4-0078,S2,S2-Q30823,Sample claim 78 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,4,4,3,3.67,Evidence snippet supporting judgment for claim 78.,0.723,2024-10-03,0
FC4-0079,S3,S3-Q42714,Sample claim 79 from Document Summarization and QA output.,CORRECT,CORRECT,INCORRECT,CORRECT,3,5,3,3.67,Evidence snippet supporting judgment for claim 79.,0.723,2024-10-06,0
FC4-0080,S4,S4-Q15634,Sample claim 80 from Medical Triage Assistant output.,CORRECT,INCORRECT,CORRECT,CORRECT,3,5,3,3.67,Evidence snippet supporting judgment for claim 80.,0.723,2024-10-17,0
FC4-0081,S1,S1-Q24176,Sample claim 81 from Customer Support Chatbot output.,CORRECT,CORRECT,INCORRECT,CORRECT,4,5,4,4.33,Evidence snippet supporting judgment for claim 81.,0.723,2024-10-22,0
FC4-0082,S2,S2-Q37925,Sample claim 82 from AI Code Assistant IDE Plugin output.,CORRECT,INCORRECT,CORRECT,CORRECT,3,4,3,3.33,Evidence snippet supporting judgment for claim 82.,0.723,2024-10-04,0
FC4-0083,S3,S3-Q12998,Sample claim 83 from Document Summarization and QA output.,UNVERIFIABLE,CORRECT,UNVERIFIABLE,UNVERIFIABLE,4,4,5,4.33,Evidence snippet supporting judgment for claim 83.,0.723,2024-10-10,0
FC4-0084,S4,S4-Q39349,Sample claim 84 from Medical Triage Assistant output.,CORRECT,UNVERIFIABLE,CORRECT,CORRECT,5,4,5,4.67,Evidence snippet supporting judgment for claim 84.,0.723,2024-10-16,0
FC4-0085,S1,S1-Q24286,Sample claim 85 from Customer Support Chatbot output.,UNVERIFIABLE,CORRECT,CORRECT,CORRECT,5,4,5,4.67,Evidence snippet supporting judgment for claim 85.,0.723,2024-10-09,0
FC4-0086,S2,S2-Q23737,Sample claim 86 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,UNVERIFIABLE,CORRECT,4,3,4,3.67,Evidence snippet supporting judgment for claim 86.,0.723,2024-12-21,0
FC4-0087,S3,S3-Q42629,Sample claim 87 from Document Summarization and QA output.,UNVERIFIABLE,CORRECT,CORRECT,CORRECT,3,5,5,4.33,Evidence snippet supporting judgment for claim 87.,0.723,2024-11-04,0
FC4-0088,S4,S4-Q38829,Sample claim 88 from Medical Triage Assistant output.,CORRECT,INCORRECT,CORRECT,CORRECT,4,4,5,4.33,Evidence snippet supporting judgment for claim 88.,0.723,2024-11-04,0
FC4-0089,S1,S1-Q49184,Sample claim 89 from Customer Support Chatbot output.,CORRECT,CORRECT,INCORRECT,CORRECT,4,4,3,3.67,Evidence snippet supporting judgment for claim 89.,0.723,2024-11-29,0
FC4-0090,S2,S2-Q31953,Sample claim 90 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,4,4,3,3.67,Evidence snippet supporting judgment for claim 90.,0.723,2024-10-28,0
FC4-0091,S3,S3-Q36425,Sample claim 91 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,5,5,4,4.67,Evidence snippet supporting judgment for claim 91.,0.723,2024-10-02,0
FC4-0092,S4,S4-Q49688,Sample claim 92 from Medical Triage Assistant output.,CORRECT,CORRECT,CORRECT,CORRECT,4,4,5,4.33,Evidence snippet supporting judgment for claim 92.,0.723,2024-10-31,0
FC4-0093,S1,S1-Q14523,Sample claim 93 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,3,3,4,3.33,Evidence snippet supporting judgment for claim 93.,0.723,2024-11-21,0
FC4-0094,S2,S2-Q22529,Sample claim 94 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,4,5,5,4.67,Evidence snippet supporting judgment for claim 94.,0.723,2024-11-24,0
FC4-0095,S3,S3-Q16476,Sample claim 95 from Document Summarization and QA output.,INCORRECT,CORRECT,CORRECT,CORRECT,4,4,4,4.0,Evidence snippet supporting judgment for claim 95.,0.723,2024-10-30,0
FC4-0096,S4,S4-Q12553,Sample claim 96 from Medical Triage Assistant output.,CORRECT,CORRECT,CORRECT,CORRECT,5,5,3,4.33,Evidence snippet supporting judgment for claim 96.,0.723,2024-10-28,0
FC4-0097,S1,S1-Q06589,Sample claim 97 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,5,5,4,4.67,Evidence snippet supporting judgment for claim 97.,0.723,2024-10-25,0
FC4-0098,S2,S2-Q17978,Sample claim 98 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,5,5,3,4.33,Evidence snippet supporting judgment for claim 98.,0.723,2024-10-06,0
FC4-0099,S3,S3-Q06724,Sample claim 99 from Document Summarization and QA output.,INCORRECT,CORRECT,CORRECT,CORRECT,3,5,4,4.0,Evidence snippet supporting judgment for claim 99.,0.723,2024-10-02,0
FC4-0100,S4,S4-Q31309,Sample claim 100 from Medical Triage Assistant output.,CORRECT,CORRECT,CORRECT,CORRECT,3,3,4,3.33,Evidence snippet supporting judgment for claim 100.,0.723,2024-10-15,0
FC4-0101,S1,S1-Q09944,Sample claim 101 from Customer Support Chatbot output.,UNVERIFIABLE,CORRECT,CORRECT,CORRECT,5,5,3,4.33,Evidence snippet supporting judgment for claim 101.,0.726,2024-10-20,0
FC4-0102,S2,S2-Q27275,Sample claim 102 from AI Code Assistant IDE Plugin output.,CORRECT,INCORRECT,CORRECT,CORRECT,3,3,5,3.67,Evidence snippet supporting judgment for claim 102.,0.726,2024-12-17,0
FC4-0103,S3,S3-Q19488,Sample claim 103 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,4,4,4,4.0,Evidence snippet supporting judgment for claim 103.,0.726,2024-12-15,0
FC4-0104,S4,S4-Q49987,Sample claim 104 from Medical Triage Assistant output.,INCORRECT,CORRECT,CORRECT,CORRECT,5,5,3,4.33,Evidence snippet supporting judgment for claim 104.,0.726,2024-10-27,0
FC4-0105,S1,S1-Q04920,Sample claim 105 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,3,3,5,3.67,Evidence snippet supporting judgment for claim 105.,0.726,2024-10-21,0
FC4-0106,S2,S2-Q18882,Sample claim 106 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,4,3,3,3.33,Evidence snippet supporting judgment for claim 106.,0.726,2024-12-30,0
FC4-0107,S3,S3-Q38653,Sample claim 107 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,3,4,5,4.0,Evidence snippet supporting judgment for claim 107.,0.726,2024-12-24,0
FC4-0108,S4,S4-Q17409,Sample claim 108 from Medical Triage Assistant output.,UNVERIFIABLE,CORRECT,CORRECT,CORRECT,3,5,3,3.67,Evidence snippet supporting judgment for claim 108.,0.726,2024-10-19,0
FC4-0109,S1,S1-Q28781,Sample claim 109 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,5,5,4,4.67,Evidence snippet supporting judgment for claim 109.,0.726,2024-10-16,0
FC4-0110,S2,S2-Q32362,Sample claim 110 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,4,5,5,4.67,Evidence snippet supporting judgment for claim 110.,0.726,2024-11-26,0
FC4-0111,S3,S3-Q01696,Sample claim 111 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,4,5,4,4.33,Evidence snippet supporting judgment for claim 111.,0.726,2024-10-12,0
FC4-0112,S4,S4-Q17663,Sample claim 112 from Medical Triage Assistant output.,CORRECT,CORRECT,UNVERIFIABLE,CORRECT,5,3,5,4.33,Evidence snippet supporting judgment for claim 112.,0.726,2024-12-13,0
FC4-0113,S1,S1-Q11895,Sample claim 113 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,5,4,4,4.33,Evidence snippet supporting judgment for claim 113.,0.726,2024-12-14,0
FC4-0114,S2,S2-Q21844,Sample claim 114 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,INCORRECT,CORRECT,4,4,4,4.0,Evidence snippet supporting judgment for claim 114.,0.726,2024-11-11,0
FC4-0115,S3,S3-Q43424,Sample claim 115 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,5,4,4,4.33,Evidence snippet supporting judgment for claim 115.,0.726,2024-11-21,0
FC4-0116,S4,S4-Q07598,Sample claim 116 from Medical Triage Assistant output.,UNVERIFIABLE,CORRECT,CORRECT,CORRECT,4,4,4,4.0,Evidence snippet supporting judgment for claim 116.,0.726,2024-11-21,0
FC4-0117,S1,S1-Q03553,Sample claim 117 from Customer Support Chatbot output.,UNVERIFIABLE,UNVERIFIABLE,CORRECT,UNVERIFIABLE,5,4,4,4.33,Evidence snippet supporting judgment for claim 117.,0.726,2024-10-25,0
FC4-0118,S2,S2-Q17502,Sample claim 118 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,4,3,3,3.33,Evidence snippet supporting judgment for claim 118.,0.726,2024-12-10,0
FC4-0119,S3,S3-Q41290,Sample claim 119 from Document Summarization and QA output.,CORRECT,CORRECT,UNVERIFIABLE,CORRECT,4,3,3,3.33,Evidence snippet supporting judgment for claim 119.,0.726,2024-12-17,0
FC4-0120,S4,S4-Q06109,Sample claim 120 from Medical Triage Assistant output.,CORRECT,CORRECT,CORRECT,CORRECT,3,5,4,4.0,Evidence snippet supporting judgment for claim 120.,0.726,2024-10-29,0
FC4-0121,S1,S1-Q32662,Sample claim 121 from Customer Support Chatbot output.,INCORRECT,INCORRECT,CORRECT,INCORRECT,3,5,3,3.67,Evidence snippet supporting judgment for claim 121.,0.726,2024-12-31,0
FC4-0122,S2,S2-Q29936,Sample claim 122 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,4,4,3,3.67,Evidence snippet supporting judgment for claim 122.,0.726,2024-12-10,0
FC4-0123,S3,S3-Q18105,Sample claim 123 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,5,3,3,3.67,Evidence snippet supporting judgment for claim 123.,0.726,2024-11-23,0
FC4-0124,S4,S4-Q19567,Sample claim 124 from Medical Triage Assistant output.,CORRECT,CORRECT,CORRECT,CORRECT,3,4,5,4.0,Evidence snippet supporting judgment for claim 124.,0.726,2024-12-15,0
